"fullName","country","politicalGroup","id","nationalPoliticalGroup"
"Nicolás GONZÁLEZ CASARES","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197718","Partido Socialista Obrero Español"
"Maria GRAPINI","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124785","Partidul Social Democrat"
"Elisabetta GUALMINI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197618","Partito Democratico"
"Sylvie GUILLAUME","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96952","Parti socialiste"
"Robert HAJŠEL","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","34578","Independent"
"Hannes HEIDE","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197682","Sozialdemokratische Partei Österreichs"
"Eero HEINÄLUOMA","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197800","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
"Alicia HOMS GINEL","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","122978","Partido Socialista Obrero Español"
"Ivo HRISTOV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197846","Bulgarian Socialist Party"
"Evin INCIR","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197392","Arbetarepartiet- Socialdemokraterna"
"Romana JERKOVIĆ","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","112747","Socijaldemokratska partija Hrvatske"
"Agnes JONGERIUS","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125021","Partij van de Arbeid"
"Marina KALJURAND","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197491","Sotsiaaldemokraatlik Erakond"
"Petra KAMMEREVERT","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96837","Sozialdemokratische Partei Deutschlands"
"Łukasz KOHUT","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197523","Nowa Lewica"
"Dietmar KÖSTER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124822","Sozialdemokratische Partei Deutschlands"
"Miapetra KUMPULA-NATRI","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124735","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
"Aurore LALUCQ","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197697","Place publique"
"Bernd LANGE","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","1909","Sozialdemokratische Partei Deutschlands"
"Pierre LARROUTUROU","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197698","Nouvelle Donne"
"Camilla LAURETI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","230085","Partito Democratico"
"Maria-Manuel LEITÃO-MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197635","Partido Socialista"
"Bogusław LIBERADZKI","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","23768","Nowa Lewica"
"Javi LÓPEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125042","Partit dels Socialistes de Catalunya (PSC-PSOE)"
"Juan Fernando LÓPEZ AGUILAR","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96812","Partido Socialista Obrero Español"
"Karsten LUCKE","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","228286","Sozialdemokratische Partei Deutschlands"
"César LUENA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197721","Partido Socialista Obrero Español"
"Cristina MAESTRE MARTÍN DE ALMAGRO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197719","Partido Socialista Obrero Español"
"Claudiu MANDA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197653","Partidul Social Democrat"
"Margarida MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197638","Partido Socialista"
"Pedro MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197634","Partido Socialista"
"Predrag Fred MATIĆ","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197441","Socijaldemokratska partija Hrvatske"
"Costas MAVRIDES","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124691","Democratic Party"
"Radka MAXOVÁ","Czechia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197522","Independent"
"Nora MEBAREK","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","204418","Parti socialiste"
"Sven MIKSER","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197497","Sotsiaaldemokraatlik Erakond"
"Leszek MILLER","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197540","Independent"
"Csaba MOLNÁR","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124722","Demokratikus Koalíció"
"Javier MORENO SÁNCHEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28347","Partido Socialista Obrero Español"
"Alessandra MORETTI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124799","Partito Democratico"
"Theresa BIELOWSKI","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","238674","Sozialdemokratische Partei Österreichs"
"Victor NEGRESCU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","88882","Partidul Social Democrat"
"Matjaž NEMEC","Slovenia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","233862","Socialni demokrati"
"Dan NICA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124784","Partidul Social Democrat"
"Maria NOICHL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124836","Sozialdemokratische Partei Deutschlands"
"Carina OHLSSON","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","237779","Arbetarepartiet- Socialdemokraterna"
"Juozas OLEKAS","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197838","Lietuvos socialdemokratų partija"
"Demetris PAPADAKIS","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124692","Movement for Social Democracy EDEK"
"Nikos PAPANDREOU","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","244571","PASOK-KINAL"
"Tsvetelina PENKOVA","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197845","Bulgarian Socialist Party"
"Pina PICIERNO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124846","Partito Democratico"
"Tonino PICULA","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","112744","Socijaldemokratska partija Hrvatske"
"Giuliano PISAPIA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197590","Independent"
"Rovana PLUMB","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","38595","Partidul Social Democrat"
"Evelyn REGNER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96998","Sozialdemokratische Partei Österreichs"
"René REPASI","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","229839","Sozialdemokratische Partei Deutschlands"
"Thijs REUTEN","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","218347","Partij van de Arbeid"
"Franco ROBERTI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197801","Partito Democratico"
"Inma RODRÍGUEZ-PIÑERO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125043","Partido Socialista Obrero Español"
"Sándor RÓNAI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197584","Demokratikus Koalíció"
"Daniela RONDINELLI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197792","Partito Democratico"
"Marcos ROS SEMPERE","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","204413","Partido Socialista Obrero Español"
"Thomas RUDNER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","245858","Sozialdemokratische Partei Deutschlands"
"Domènec RUIZ DEVESA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","127096","Partido Socialista Obrero Español"
"Nacho SÁNCHEZ AMOR","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197722","Partido Socialista Obrero Español"
"Alfred SANT","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124781","Partit Laburista"
"Isabel SANTOS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197650","Partido Socialista"
"Christel SCHALDEMOSE","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","37312","Socialdemokratiet"
"Andreas SCHIEDER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197670","Sozialdemokratische Partei Österreichs"
"Joachim SCHUSTER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124837","Sozialdemokratische Partei Deutschlands"
"Günther SIDL","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197677","Sozialdemokratische Partei Österreichs"
"Pedro SILVA PEREIRA","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124747","Partido Socialista"
"Birgit SIPPEL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96932","Sozialdemokratische Partei Deutschlands"
"Sergei STANISHEV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124852","Bulgarian Socialist Party"
"Paul TANG","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125020","Partij van de Arbeid"
"Vera TAX","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197756","Partij van de Arbeid"
"Irene TINAGLI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197591","Partito Democratico"
"Patrizia TOIA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28340","Partito Democratico"
"Mihai TUDOSE","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","198183","Partidul Social Democrat"
"István UJHELYI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124705","Esély Közösség"
"Nils UŠAKOVS","Latvia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197810","""Saskaņa"" sociāldemokrātiskā partija"
"Kathleen VAN BREMPT","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","5729","Vooruit"
"Achille VARIATI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","239257","Partito Democratico"
"Marianne VIND","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","199941","Socialdemokratiet"
"Petar VITANOV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","197844","Bulgarian Socialist Party"
"Tiemo WÖLKEN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","185619","Sozialdemokratische Partei Deutschlands"
"Lara WOLTERS","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","5392","Partij van de Arbeid"
"Theodoros ZAGORAKIS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125067","Independent"
"Carlos ZORRINHO","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124739","Partido Socialista"
